Subject,Country,Age,Gender,City,Education,Question,Response,Condition,Coded_Response
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,He ordenado todo mi cuarto.,IND_MINUS_TA,PP
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Lavé todo el piso.,IND_MINUS_TA,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Nunca he escalado el monte Everest.,IRR,PP
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Hace pocas horas pinté un cuadro.,TODAY,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Hace una hora jugué al ajedrez.,TODAY,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Anteayer hablé con Sofía.,YESTERDAY_PLUS,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,En alguna ocasión he viajado por el norte.,IND_PLUS_TA,PP
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Alguna vez he conversado con mi tío.,IND_PLUS_TA,PP
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Hoy bailé tango.,TODAY,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Ayer corrí en la pista.,YESTERDAY_PLUS,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Hace pocos minutos practiqué el inglés.,TODAY,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Una vez miré el paisaje.,IND_PLUS_TA,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Hace un mes leí aquí.,YESTERDAY_PLUS,PRET
R_8G9ddzwbuPrGouA,Spain,25-34 años,Femenino,Madrid,Gradschool,Emotional,Hace dos días trabajé en la oficina.,YESTERDAY_PLUS,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Hace dos días jugué al ajedrez.,YESTERDAY_PLUS,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,En alguna ocasión hablé con Sofía.,IND_PLUS_TA,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Nunca miré el paisaje.,IRR,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Varias veces viajé por el norte.,IRR,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Alguna vez leí aquí.,IND_PLUS_TA,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Hace pocas horas investigué la historia de mi familia.,TODAY,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Hace pocos minutos he aprendido mucho sobre los aviones.,TODAY,PP
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Hoy he lavado todo el piso.,TODAY,PP
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,He escrito una carta a Jorge.,IND_MINUS_TA,PP
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Ayer bailé tango.,YESTERDAY_PLUS,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Una vez trabajé en la oficina.,IND_PLUS_TA,PRET
R_8fAWhT00IT6n27f,Spain,55-64 años,Masculino,córdoba,Highschool,Emotional,Muchas veces conversé con mi tío.,IRR,PRET
